scenario,run_tag,m_med,m_dm,lambda,width,xsec_pb,nevents
S3M_br,mMed1000_mDM10_lam5p0,1000.0,10.0,5.0,497.2597,3.3970047979999998,10000
S3M_br,mMed1000_mDM50_lam1p0,1000.0,50.0,1.0,19.79502,0.01522194527,10000
S3M_br,mMed1000_mDM50_lam1p5,1000.0,50.0,1.5,44.5388,0.03964712847,10000
S3M_br,mMed1000_mDM50_lam2p0,1000.0,50.0,2.0,79.18008,0.09538071246,10000
S3M_br,mMed1000_mDM50_lam2p2,1000.0,50.0,2.2,95.8079,0.1297567057,10000
S3M_br,mMed1000_mDM50_lam2p5,1000.0,50.0,2.5,123.7189,0.1969973295,10000
S3M_br,mMed1000_mDM50_lam3p0,1000.0,50.0,3.0,178.1552,0.38456212570000003,10000
S3M_br,mMed1000_mDM50_lam3p5,1000.0,50.0,3.5,242.489,0.6794842645,10000
S3M_br,mMed1000_mDM50_lam4p0,1000.0,50.0,4.0,316.7203,1.132883396,10000
S3M_br,mMed1000_mDM50_lam4p5,1000.0,50.0,4.5,400.8492,1.78742352,10000
S3M_br,mMed1000_mDM50_lam5p0,1000.0,50.0,5.0,494.8755,2.642877196,10000
S3M_br,mMed1000_mDM100_lam1p0,1000.0,100.0,1.0,19.49847,0.013475669501,10000
S3M_br,mMed1000_mDM100_lam1p5,1000.0,100.0,1.5,43.87156,0.03153548137,10000
S3M_br,mMed1000_mDM100_lam2p0,1000.0,100.0,2.0,77.99388,0.07074711716,10000
S3M_br,mMed1000_mDM100_lam2p2,1000.0,100.0,2.2,94.37259,0.0958503859,10000
S3M_br,mMed1000_mDM100_lam2p5,1000.0,100.0,2.5,121.8654,0.13992442589999998,10000
S3M_br,mMed1000_mDM100_lam3p0,1000.0,100.0,3.0,175.4862,0.2663621456,10000
S3M_br,mMed1000_mDM100_lam3p5,1000.0,100.0,3.5,238.8563,0.4668171505,10000
S3M_br,mMed1000_mDM100_lam4p0,1000.0,100.0,4.0,311.9755,0.7592488534,10000
S3M_br,mMed1000_mDM100_lam4p5,1000.0,100.0,4.5,394.844,1.189206992,10000
S3M_br,mMed1000_mDM100_lam5p0,1000.0,100.0,5.0,487.4617,1.790899953,10000
S3M_br,mMed1000_mDM200_lam1p0,1000.0,200.0,1.0,18.33465,0.011015528212000001,10000
S3M_br,mMed1000_mDM200_lam1p5,1000.0,200.0,1.5,41.25296,0.021487910479999997,10000
S3M_br,mMed1000_mDM200_lam2p0,1000.0,200.0,2.0,73.3386,0.04134685135,10000
S3M_br,mMed1000_mDM200_lam2p2,1000.0,200.0,2.2,88.7397,0.0530740296,10000
S3M_br,mMed1000_mDM200_lam2p5,1000.0,200.0,2.5,114.5916,0.0723020781,10000
S3M_br,mMed1000_mDM200_lam3p0,1000.0,200.0,3.0,165.0118,0.1275584887,10000
S3M_br,mMed1000_mDM200_lam3p5,1000.0,200.0,3.5,224.5995,0.2134867393,10000
S3M_br,mMed1000_mDM200_lam4p0,1000.0,200.0,4.0,293.3544,0.339008777,10000
S3M_br,mMed1000_mDM200_lam4p5,1000.0,200.0,4.5,371.2767,0.518235275,10000
S3M_br,mMed1000_mDM200_lam5p0,1000.0,200.0,5.0,458.3662,0.763840697,10000
S3M_br,mMed1000_mDM500_lam1p0,1000.0,500.0,1.0,11.19058,0.0076477973343999995,10000
S3M_br,mMed1000_mDM500_lam1p5,1000.0,500.0,1.5,25.17881,0.010765190902599999,10000
S3M_br,mMed1000_mDM500_lam2p0,1000.0,500.0,2.0,44.76233,0.015250661454000001,10000
S3M_br,mMed1000_mDM500_lam2p2,1000.0,500.0,2.2,54.16242,0.017472563324,10000
S3M_br,mMed1000_mDM500_lam2p5,1000.0,500.0,2.5,69.94114,0.021308556464,10000
S3M_br,mMed1000_mDM500_lam3p0,1000.0,500.0,3.0,100.7152,0.0268126322,10000
S3M_br,mMed1000_mDM500_lam3p5,1000.0,500.0,3.5,137.0846,0.03680702478,10000
S3M_br,mMed1000_mDM500_lam4p0,1000.0,500.0,4.0,179.0493,0.05030718384,10000
S3M_br,mMed1000_mDM500_lam4p5,1000.0,500.0,4.5,226.6093,0.0683522053,10000
S3M_br,mMed1000_mDM500_lam5p0,1000.0,500.0,5.0,279.7645,0.0919707503,10000
S3M_br,mMed1000_mDM750_lam1p0,1000.0,750.0,1.0,3.807906,0.00645021056946,10000
S3M_br,mMed1000_mDM750_lam1p5,1000.0,750.0,1.5,8.567789,0.00807233220231,10000
S3M_br,mMed1000_mDM750_lam2p0,1000.0,750.0,2.0,15.23163,0.010297587411,10000
S3M_br,mMed1000_mDM750_lam2p2,1000.0,750.0,2.2,18.43027,0.011352423438,10000
S3M_br,mMed1000_mDM750_lam2p5,1000.0,750.0,2.5,23.79941,0.0131629659829,10000
S3M_br,mMed1000_mDM750_lam3p0,1000.0,750.0,3.0,34.27116,0.016436724184,10000
S3M_br,mMed1000_mDM750_lam3p5,1000.0,750.0,3.5,46.64685,0.020453093970000003,10000
S3M_br,mMed1000_mDM750_lam4p0,1000.0,750.0,4.0,60.9265,0.025135775528,10000
S3M_br,mMed1000_mDM750_lam4p5,1000.0,750.0,4.5,77.1101,0.030751100671,10000
